Dataset,Model,N,Direct,Majority_K3_All,Best_K3_Tau,Best_K3_Acc,Best_K3_Gain_vs_Direct,Best_K3_Use_Rate,Best_K3_C_to_W,Best_K3_W_to_C,Best_K3_Net,Has_K3
GSM8K,Qwen2.5-7B,500,0.914,0.92,0.3333333333333333,0.926,0.01200000000000001,0.04,3,9,6,True
GSM8K,InternLM3-8B,500,0.876,0.89,0.3333333333333333,0.904,0.028000000000000025,0.072,7,21,14,True
GSM8K,Llama3.1-8B,500,0.816,0.84,0.3333333333333333,0.866,0.050000000000000044,0.128,7,32,25,True
GSM8K,Mistral-7B-v0.3,500,0.244,0.274,0.3333333333333333,0.278,0.03400000000000003,0.302,14,31,17,True
GSM8K,Gemma2-9B,500,0.888,0.898,0.6666666666666666,0.898,0.010000000000000009,0.064,6,11,5,True
ARC-Challenge,Qwen2.5-7B,500,0.916,0.91,0.3333333333333333,0.92,0.0040000000000000036,0.014,1,3,2,True
ARC-Challenge,InternLM3-8B,500,0.894,0.926,0.6666666666666666,0.926,0.03200000000000003,0.066,7,23,16,True
ARC-Challenge,Llama3.1-8B,500,0.864,0.858,0.3333333333333333,0.874,0.010000000000000009,0.034,4,9,5,True
ARC-Challenge,Mistral-7B-v0.3,500,0.708,0.724,0.6666666666666666,0.724,0.016000000000000014,0.142,22,30,8,True
ARC-Challenge,Gemma2-9B,500,0.916,0.924,0.6666666666666666,0.924,0.008000000000000007,0.03,4,8,4,True
GPQA-Diamond,Qwen2.5-7B,198,0.2979797979797979,0.29797979797979796,0.3333333333333333,0.3282828282828283,0.030303030303030387,0.29292929292929293,7,13,6,True
GPQA-Diamond,InternLM3-8B,198,0.2777777777777778,0.303030303030303,0.3333333333333333,0.3232323232323232,0.045454545454545414,0.202020202020202,5,14,9,True
GPQA-Diamond,Llama3.1-8B,198,0.2626262626262626,0.29292929292929293,0.3333333333333333,0.3181818181818182,0.05555555555555558,0.2727272727272727,6,17,11,True
GPQA-Diamond,Mistral-7B-v0.3,198,0.2373737373737373,0.2222222222222222,0.3333333333333333,0.2424242424242424,0.005050505050505111,0.202020202020202,8,9,1,True
GPQA-Diamond,Gemma2-9B,198,0.303030303030303,0.3282828282828283,0.3333333333333333,0.3383838383838384,0.035353535353535415,0.15151515151515152,7,14,7,True
