Dataset,Model,N,Complete,Direct,Standard_SC,Majority_K5_All,Gated_K5_tau0.4,Gain_tau0.4_vs_Direct,Use_Rate_tau0.4,C_to_W_tau0.4,W_to_C_tau0.4,Net_tau0.4
GSM8K,Qwen2.5-7B,500,True,0.914,0.906,0.924,0.926,0.01200000000000001,0.044,4,10,6
GSM8K,InternLM3-8B,500,True,0.876,0.872,0.906,0.9,0.02400000000000002,0.08,10,22,12
GSM8K,Llama3.1-8B,500,True,0.816,0.528,0.878,0.872,0.05600000000000005,0.15,11,39,28
GSM8K,Mistral-7B-v0.3,500,True,0.244,0.312,0.294,0.288,0.043999999999999984,0.41,21,43,22
GSM8K,Gemma2-9B,500,True,0.888,0.89,0.9,0.902,0.014000000000000012,0.04,2,9,7
ARC-Challenge,Qwen2.5-7B,500,True,0.916,0.906,0.92,0.922,0.006000000000000005,0.02,1,4,3
ARC-Challenge,InternLM3-8B,500,True,0.894,0.918,0.93,0.924,0.030000000000000027,0.038,2,17,15
ARC-Challenge,Llama3.1-8B,500,True,0.864,0.578,0.868,0.872,0.008000000000000007,0.046,7,11,4
ARC-Challenge,Mistral-7B-v0.3,500,True,0.708,0.78,0.74,0.736,0.028000000000000025,0.07,6,20,14
ARC-Challenge,Gemma2-9B,500,True,0.916,0.84,0.926,0.922,0.006000000000000005,0.012,1,4,3
GPQA-Diamond,Qwen2.5-7B,198,True,0.2979797979797979,0.3333333333333333,0.3333333333333333,0.3484848484848485,0.05050505050505061,0.3383838383838384,10,20,10
GPQA-Diamond,InternLM3-8B,198,True,0.2777777777777778,0.2727272727272727,0.303030303030303,0.3131313131313131,0.035353535353535304,0.2979797979797979,10,17,7
GPQA-Diamond,Llama3.1-8B,198,True,0.2626262626262626,0.2121212121212121,0.2878787878787879,0.2676767676767677,0.005050505050505083,0.3838383838383838,19,20,1
GPQA-Diamond,Mistral-7B-v0.3,198,True,0.2373737373737373,0.2272727272727272,0.2272727272727272,0.2424242424242424,0.005050505050505111,0.2929292929292929,13,14,1
GPQA-Diamond,Gemma2-9B,198,True,0.303030303030303,0.303030303030303,0.3181818181818182,0.3434343434343434,0.04040404040404044,0.207070707070707,7,15,8
